Treatment,Sample,Adult,L1,L2,L3,L4,L5,Total_L1_L2,sqrt_L1,sqrt_L1_L2
Low,1A,1,7,1,0,0,0,8,2.74,2.92
Low,1B,1,4,1,0,0,0,5,2.12,2.35
Low,1C,2,11,5,0,0,0,16,3.39,4.06
Low,1D,2,5,0,0,0,0,5,2.35,2.35
Low,1E,0,9,0,0,0,0,9,3.08,3.08
Low,1F,1,9,10,0,0,0,19,3.08,4.42
Low,1G,2,0,0,0,0,0,0,0.71,0.71
Low,1H,1,8,1,0,0,0,9,2.92,3.08
Low,1I,1,6,0,0,0,0,6,2.55,2.55
Low,1J,1,11,6,0,0,0,17,3.39,4.18
Low,1K,1,6,1,0,0,0,7,2.55,2.74
Low,1L,1,8,1,0,0,0,9,2.92,3.08
Medium,2A,1,0,0,0,0,0,0,0.71,0.71
Medium,2B,2,14,10,0,0,0,24,3.81,4.95
Medium,2C,0,8,0,0,0,0,8,2.92,2.92
Medium,2D,2,16,12,1,0,0,28,4.06,5.34
Medium,2E,0,23,19,5,0,0,42,4.85,6.52
Medium,2F,1,13,4,2,0,0,17,3.67,4.18
Medium,2G,1,14,9,0,0,0,23,3.81,4.85
Medium,2H,1,8,7,1,0,0,15,2.92,3.94
Medium,2I,1,7,3,0,0,0,10,2.74,3.24
Medium,2J,0,0,0,0,0,0,0,0.71,0.71
Medium,2K,1,0,0,0,0,0,0,0.71,0.71
Medium,2L,0,2,3,1,0,0,5,1.58,2.35
High,3A,1,16,11,4,0,0,27,4.06,5.24
High,3B,1,0,0,0,0,0,0,0.71,0.71
High,3C,2,4,5,1,0,0,9,2.12,3.08
High,3D,1,20,8,1,0,0,28,4.53,5.34
High,3E,2,19,9,0,0,0,28,4.42,5.34
High,3F,1,6,2,0,0,0,8,2.55,2.92
High,3G,0,16,10,0,0,0,26,4.06,5.15
High,3H,1,0,1,0,0,0,1,0.71,1.22
High,3I,1,4,6,0,0,1,10,2.12,3.24
High,3J,0,12,6,0,0,0,18,3.54,4.3
High,3K,2,7,6,0,0,0,13,2.74,3.67
High,3L,2,18,16,2,0,0,34,4.3,5.87
