Treatment,Sample,Adult,L1,L2,L3,L4,L5,Total_L1_L2,sqrt_L1,sqrt_L1_L2
Low,A,0,0,0,0,0,0,0,0.71,0.71
Low,B,0,17,5,0,0,0,22,4.18,4.74
Low,C,1,0,0,0,0,0,0,0.71,0.71
Low,D,3,2,0,0,0,0,2,1.58,1.58
Low,E,1,1,1,0,0,0,2,1.22,1.58
Low,F,1,0,0,0,0,0,0,0.71,0.71
Low,G,2,7,1,0,0,0,8,2.74,2.92
Low,H,2,9,4,0,0,0,13,3.08,3.67
Low,I,2,9,8,5,0,0,17,3.08,4.18
Low,J,0,4,0,0,0,0,4,2.12,2.12
Low,K,1,23,9,0,0,0,32,4.85,5.7
Low,L,1,0,0,0,0,0,0,0.71,0.71
Medium,A,2,5,4,2,0,0,9,2.35,3.08
Medium,B,1,18,12,0,0,0,30,4.3,5.52
Medium,C,0,19,12,1,0,0,31,4.42,5.61
Medium,D,3,7,2,0,0,0,9,2.74,3.08
Medium,E,1,6,5,0,0,0,11,2.55,3.39
Medium,F,2,14,13,1,0,0,27,3.81,5.24
Medium,G,2,0,16,1,0,0,16,0.71,4.06
Medium,H,1,6,6,0,0,0,12,2.55,3.54
Medium,I,0,9,7,0,0,0,16,3.08,4.06
Medium,J,1,0,0,0,0,0,0,0.71,0.71
Medium,K,0,3,7,0,0,0,10,1.87,3.24
Medium,L,2,10,11,2,0,0,21,3.24,4.64
High,A,0,1,0,0,0,0,1,1.22,1.22
High,B,1,10,4,0,0,0,14,3.24,3.81
High,C,1,25,25,2,0,0,50,5.05,7.11
High,D,0,35,23,0,0,0,58,5.96,7.65
High,E,0,2,6,0,0,0,8,1.58,2.92
High,F,1,11,14,2,0,0,25,3.39,5.05
High,G,2,9,13,0,0,0,22,3.08,4.74
High,H,0,31,21,0,0,0,52,5.61,7.25
High,I,2,6,3,0,0,0,9,2.55,3.08
High,J,0,16,16,0,0,2,32,4.06,5.7
High,K,1,0,0,0,0,0,0,0.71,0.71
High,L,2,26,19,0,0,0,45,5.15,6.75
