Year,Treatment,DPI,Sample,Adult,L1,L2,L3,L4,L5,Total,sqrt_total,Average_Age
2025,Low,14,6,0,4,15,25,3,0,47,6.89,2.57
2025,Low,14,8,0,0,5,16,3,0,24,4.95,2.92
2025,Low,14,10,0,0,8,45,5,1,59,7.71,2.98
2025,Low,14,11,0,3,20,25,5,2,55,7.45,2.69
2025,Low,14,12,0,2,13,31,2,0,48,6.96,2.69
2025,Low,14,17,0,0,0,4,1,0,5,2.35,3.20
2025,Low,14,19,0,5,27,14,2,0,48,6.96,2.27
2025,Medium,14,3,0,1,5,16,8,1,31,5.61,3.10
2025,Medium,14,4,0,0,18,9,7,0,34,5.87,2.68
2025,Medium,14,7,0,2,11,22,6,2,43,6.60,2.88
2025,Medium,14,9,0,0,0,1,2,0,3,1.87,3.67
2025,Medium,14,11,0,0,8,28,11,1,48,6.96,3.10
2025,Medium,14,14,0,1,13,24,10,1,49,7.04,2.94
2025,Medium,14,16,0,0,0,1,2,1,4,2.12,4.00
2025,Medium,14,21,0,0,15,16,11,0,42,6.52,2.90
2025,High,14,6,0,2,7,4,7,0,20,4.53,2.80
2025,High,14,8,0,3,17,14,16,3,53,7.31,2.98
2025,High,14,10,0,1,13,13,15,3,45,6.75,3.13
2025,High,14,11,0,5,8,14,2,1,30,5.52,2.53
2025,High,14,17,0,3,17,18,7,1,46,6.82,2.70
2025,High,14,18,0,0,0,0,3,0,3,1.87,4.00
2025,High,14,24,0,4,29,43,29,4,109,10.46,3.00
2025,Low,19,1,0,0,1,7,10,4,22,4.74,3.77
2025,Low,19,3,0,1,2,3,6,2,14,3.81,3.43
2025,Low,19,9,0,1,3,3,0,0,7,2.74,2.29
2025,Low,19,18,0,0,0,4,5,12,21,4.64,4.38
2025,Low,19,21,0,0,1,1,0,3,5,2.35,4.00
2025,Low,19,24,0,0,0,3,1,2,6,2.55,3.83
2025,Medium,19,2,0,0,4,7,8,2,21,4.64,3.38
2025,Medium,19,8,0,0,4,2,5,3,14,3.81,3.50
2025,Medium,19,10,0,0,0,3,6,1,10,3.24,3.80
2025,Medium,19,15,0,1,1,14,14,12,42,6.52,3.83
2025,Medium,19,17,0,0,0,3,3,9,15,3.94,4.40
2025,Medium,19,20,0,2,6,7,8,5,28,5.34,3.29
2025,Medium,19,22,0,1,0,1,3,7,12,3.54,4.25
2025,Medium,19,24,0,0,2,5,7,10,24,4.95,4.04
2025,High,19,1,0,0,0,7,13,24,44,6.67,4.39
2025,High,19,4,0,0,2,4,3,9,18,4.30,4.06
2025,High,19,13,0,0,0,2,1,2,5,2.35,4.00
2025,High,19,19,0,0,4,14,4,5,27,5.24,3.37
2025,High,19,20,0,0,3,7,14,16,40,6.36,4.08
2025,High,19,21,0,2,0,3,9,13,27,5.24,4.15
2025,Low,24,2,0,0,1,7,10,4,22,4.74,3.77
2025,Low,24,4,0,0,0,0,8,9,17,4.18,4.53
2025,Low,24,7,0,0,0,1,0,0,1,1.22,3.00
2025,Low,24,13,0,0,0,3,1,1,5,2.35,3.60
2025,Low,24,15,0,0,0,1,4,4,9,3.08,4.33
2025,Medium,24,1,0,0,0,5,5,12,22,4.74,4.32
2025,Medium,24,5,0,0,0,1,2,2,5,2.35,4.20
2025,Medium,24,6,0,0,0,2,3,5,10,3.24,4.30
2025,Medium,24,12,0,0,0,0,0,2,2,1.58,5.00
2025,Medium,24,13,0,0,0,0,1,4,5,2.35,4.80
2025,Medium,24,18,0,0,0,2,5,18,25,5.05,4.64
2025,Medium,24,19,0,0,0,5,7,14,26,5.15,4.35
2025,Medium,24,23,0,0,0,1,1,3,5,2.35,4.40
2025,High,24,2,0,0,0,1,7,5,13,3.67,4.31
2025,High,24,5,0,0,0,0,2,7,9,3.08,4.78
2025,High,24,7,0,0,0,0,5,6,11,3.39,4.55
2025,High,24,12,0,0,0,1,7,6,14,3.81,4.36
2025,High,24,14,0,0,0,1,1,2,4,2.12,4.25
2025,High,24,15,0,0,0,0,0,2,2,1.58,5.00
2025,High,24,16,0,0,0,3,2,4,9,3.08,4.11
